q,n_patterns,dim,temperature,alpha,schedule,R,update_method,learning_rule,avg_overlap,std_overlap,interference,energy_diff,model
0.6,10,"(28, 28)",1.0,0.01,classic,4,synchronous,hebb,0.7408163265306121,0.07549641352283229,0.6093537414965984,-504.1530612244883,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f1d71d0>
0.6,10,"(28, 28)",1.0,0.01,classic,4,synchronous,local,0.7658163265306123,0.08448307919668846,0.6093537414965984,-14.158163265306115,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f1d7260>
0.6,10,"(28, 28)",1.0,0.01,classic,4,synchronous,turkey,0.714030612244898,0.12843292061568906,0.6093537414965984,-24.49190113940469,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f1d72f0>
0.6,10,"(28, 28)",1.0,0.01,classic,4,asynchronous,hebb,0.736734693877551,0.07220604570418535,0.6093537414965984,-489.5612244897952,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f1d7380>
0.6,10,"(28, 28)",1.0,0.01,classic,4,asynchronous,local,0.7375,0.10396433216019826,0.6093537414965984,-10.275510204081627,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f1d7410>
0.6,10,"(28, 28)",1.0,0.01,classic,4,asynchronous,turkey,0.7142857142857143,0.12817195797896513,0.6093537414965984,-24.49190113940469,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f1d7530>
0.6,10,"(28, 28)",1.0,0.01,classic,5,montecarlo,hebb,0.7313775510204081,0.06746520614348807,0.6093537414965984,-499.11224489795813,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f1240e0>
0.6,10,"(28, 28)",1.0,0.01,classic,5,montecarlo,local,0.15612244897959185,0.24784262818676348,0.6093537414965984,99.08163265306116,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f124050>
0.6,10,"(28, 28)",1.0,0.01,classic,5,montecarlo,turkey,0.1816326530612245,0.34849926665462133,0.6093537414965984,36.05945747494988,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f1243b0>
0.6,10,"(28, 28)",1.0,0.01,classic,5,synchronous,hebb,0.7387755102040816,0.07669370377189205,0.6093537414965984,-504.1530612244883,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f1d76e0>
0.6,10,"(28, 28)",1.0,0.01,classic,5,synchronous,local,0.7852040816326531,0.0847522542851457,0.6093537414965984,-17.418367346938794,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f1d7890>
0.6,10,"(28, 28)",1.0,0.01,classic,5,synchronous,turkey,0.7058673469387755,0.12556644873822662,0.6093537414965984,-24.49190113940469,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f1d7800>
0.6,10,"(28, 28)",1.0,0.01,classic,5,asynchronous,hebb,0.735204081632653,0.07036193395061803,0.6093537414965984,-504.3673469387745,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f1d7920>
0.6,10,"(28, 28)",1.0,0.01,classic,5,asynchronous,local,0.7431122448979591,0.10757958852661217,0.6093537414965984,-17.336734693877588,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f1d79b0>
0.6,10,"(28, 28)",1.0,0.01,classic,5,asynchronous,turkey,0.6841836734693878,0.1283485272210661,0.6093537414965984,-58.38821964745,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f1d7ad0>
0.6,10,"(28, 28)",1.0,0.01,classic,6,montecarlo,hebb,0.7295918367346939,0.0683749615010243,0.6093537414965984,-500.4897959183663,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f1245f0>
0.6,10,"(28, 28)",1.0,0.01,classic,6,montecarlo,local,-0.2931122448979592,0.28536205055311176,0.6093537414965984,71.57653061224491,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f124680>
0.6,10,"(28, 28)",1.0,0.01,classic,6,montecarlo,turkey,0.011479591836734682,0.46615352314753256,0.6093537414965984,39.51626078073272,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f1244d0>
0.6,10,"(28, 28)",1.0,0.01,classic,6,synchronous,hebb,0.7385204081632653,0.0743590724635713,0.6093537414965984,-504.1530612244883,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f1d7c80>
0.6,10,"(28, 28)",1.0,0.01,classic,6,synchronous,local,0.7206632653061225,0.10798532967216656,0.6093537414965984,-30.158163265306143,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f1d7da0>
0.6,10,"(28, 28)",1.0,0.01,classic,6,synchronous,turkey,0.6852040816326531,0.12862405790346346,0.6093537414965984,-60.98606091971706,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f1d7d10>
0.6,10,"(28, 28)",1.0,0.01,classic,6,asynchronous,hebb,0.7354591836734694,0.07334394406910381,0.6093537414965984,-472.68367346938794,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f1d7e30>
0.6,10,"(28, 28)",1.0,0.01,classic,6,asynchronous,local,0.7234693877551021,0.09193022452250413,0.6093537414965984,-30.51020408163265,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f1d74a0>
0.6,10,"(28, 28)",1.0,0.01,classic,6,asynchronous,turkey,0.7056122448979593,0.12568637047607256,0.6093537414965984,-24.49190113940469,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f1d7f50>
0.6,10,"(28, 28)",1.0,0.01,classic,7,montecarlo,hebb,0.7344387755102042,0.06880617995379049,0.6093537414965984,-500.04081632652924,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f124b00>
0.6,10,"(28, 28)",1.0,0.01,classic,7,montecarlo,local,0.2571428571428571,0.42275080413761534,0.6093537414965984,26.54591836734693,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f124a70>
0.6,10,"(28, 28)",1.0,0.01,classic,7,montecarlo,turkey,-0.10765306122448978,0.47507616829406024,0.6093537414965984,98.178229558326,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f1247a0>
0.6,10,"(28, 28)",1.0,0.01,classic,7,synchronous,hebb,0.7390306122448979,0.07489797656119467,0.6093537414965984,-504.1530612244883,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f124170>
0.6,10,"(28, 28)",1.0,0.01,classic,7,synchronous,local,0.7469387755102039,0.09234411992540725,0.6093537414965984,-40.12244897959181,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f124200>
0.6,10,"(28, 28)",1.0,0.01,classic,7,synchronous,turkey,0.7058673469387755,0.12556644873822662,0.6093537414965984,-24.49190113940469,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f124290>
0.6,10,"(28, 28)",1.0,0.01,classic,7,asynchronous,hebb,0.7374999999999999,0.07309864293770171,0.6093537414965984,-504.1530612244883,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f124320>
0.6,10,"(28, 28)",1.0,0.01,classic,7,asynchronous,local,0.7579081632653061,0.0989943840198619,0.6093537414965984,-38.7908163265306,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f124560>
0.6,10,"(28, 28)",1.0,0.01,classic,7,asynchronous,turkey,0.7073979591836734,0.13046193719009996,0.6093537414965984,-23.930899880487885,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f124440>
0.6,10,"(28, 28)",1.0,0.01,logarithmic,4,montecarlo,hebb,0.7390306122448981,0.06542807888721888,0.6093537414965984,-487.4897959183668,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f125130>
0.6,10,"(28, 28)",1.0,0.01,logarithmic,4,montecarlo,local,0.009183673469387758,0.04805407460140695,0.6093537414965984,118.5408163265306,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f125010>
0.6,10,"(28, 28)",1.0,0.01,logarithmic,4,montecarlo,turkey,0.0163265306122449,0.058420038297108026,0.6093537414965984,190.98848327261135,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f124ef0>
0.6,10,"(28, 28)",1.0,0.01,logarithmic,4,synchronous,hebb,0.7403061224489795,0.07332397741739421,0.6093537414965984,-504.1530612244883,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f124710>
0.6,10,"(28, 28)",1.0,0.01,logarithmic,4,synchronous,local,0.7117346938775511,0.1281719579789651,0.6093537414965984,-8.061224489795933,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f124830>
0.6,10,"(28, 28)",1.0,0.01,logarithmic,4,synchronous,turkey,0.7058673469387755,0.12556644873822662,0.6093537414965984,-24.49190113940469,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f1d7ec0>
0.6,10,"(28, 28)",1.0,0.01,logarithmic,4,asynchronous,hebb,0.7359693877551019,0.07567764460775557,0.6093537414965984,-501.7857142857133,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f1248c0>
0.6,10,"(28, 28)",1.0,0.01,logarithmic,4,asynchronous,local,0.688265306122449,0.1051862155498094,0.6093537414965984,-11.688775510204067,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f124950>
0.6,10,"(28, 28)",1.0,0.01,logarithmic,4,asynchronous,turkey,0.7089285714285715,0.13199133421316692,0.6093537414965984,-23.399885861088052,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f1249e0>
0.6,10,"(28, 28)",1.0,0.01,logarithmic,5,montecarlo,hebb,0.7260204081632653,0.06387950704444707,0.6093537414965984,-486.9285714285711,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f125760>
0.6,10,"(28, 28)",1.0,0.01,logarithmic,5,montecarlo,local,-0.002040816326530611,0.03517819219579224,0.6093537414965984,169.01530612244892,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f125370>
0.6,10,"(28, 28)",1.0,0.01,logarithmic,5,montecarlo,turkey,-0.028316326530612244,0.04664183471437095,0.6093537414965984,192.4516771720529,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f125400>
0.6,10,"(28, 28)",1.0,0.01,logarithmic,5,synchronous,hebb,0.7392857142857142,0.07448630128788908,0.6093537414965984,-504.1530612244883,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f124b90>
0.6,10,"(28, 28)",1.0,0.01,logarithmic,5,synchronous,local,0.7002551020408163,0.11331958848184322,0.6093537414965984,-19.862244897959215,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f124cb0>
0.6,10,"(28, 28)",1.0,0.01,logarithmic,5,synchronous,turkey,0.7122448979591837,0.1292126462658309,0.6093537414965984,-24.49190113940469,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f124d40>
0.6,10,"(28, 28)",1.0,0.01,logarithmic,5,asynchronous,hebb,0.7377551020408164,0.0720616984246259,0.6093537414965984,-492.53061224489693,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f124dd0>
0.6,10,"(28, 28)",1.0,0.01,logarithmic,5,asynchronous,local,0.6931122448979592,0.16151021729768425,0.6093537414965984,-19.831632653061263,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f124e60>
0.6,10,"(28, 28)",1.0,0.01,logarithmic,5,asynchronous,turkey,0.7061224489795919,0.12462876986896083,0.6093537414965984,-24.49190113940469,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f124f80>
0.6,10,"(28, 28)",1.0,0.01,logarithmic,6,montecarlo,hebb,0.7234693877551021,0.06689512949899427,0.6093537414965984,-489.4489795918362,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f125b50>
0.6,10,"(28, 28)",1.0,0.01,logarithmic,6,montecarlo,local,0.008163265306122448,0.07184463372620101,0.6093537414965984,214.69897959183675,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f125a30>
0.6,10,"(28, 28)",1.0,0.01,logarithmic,6,montecarlo,turkey,-0.03698979591836735,0.06218684562882095,0.6093537414965984,191.56851719269224,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f1259a0>
0.6,10,"(28, 28)",1.0,0.01,logarithmic,6,synchronous,hebb,0.7403061224489796,0.07460851596094249,0.6093537414965984,-504.1530612244883,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f1250a0>
0.6,10,"(28, 28)",1.0,0.01,logarithmic,6,synchronous,local,0.6928571428571428,0.14464623146911712,0.6093537414965984,-28.581632653061234,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f125250>
0.6,10,"(28, 28)",1.0,0.01,logarithmic,6,synchronous,turkey,0.7122448979591837,0.1292126462658309,0.6093537414965984,-24.49190113940469,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f1251c0>
0.6,10,"(28, 28)",1.0,0.01,logarithmic,6,asynchronous,hebb,0.7354591836734694,0.07194646434522285,0.6093537414965984,-504.1530612244883,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f1252e0>
0.6,10,"(28, 28)",1.0,0.01,logarithmic,6,asynchronous,local,0.686734693877551,0.15506679245016647,0.6093537414965984,-28.311224489795904,<HopfieldModel.HopfieldModelnD object at 0x7f8e2f125490>
