q,n_patterns,dim,temperature,alpha,schedule,R,update_method,learning_rule,avg_overlap,std_overlap,interference,energy_diff
0.75,10,"(28, 28)",0.001,1.778279410038923e-06,logarithmic,4,montecarlo,local,0.8288265306122448,0.06279294113905608,0.6093537414965984,-11.081632653061234
0.75,10,"(28, 28)",0.001,3.162277660168379e-06,exponential,4,montecarlo,local,0.8288265306122448,0.06279294113905608,0.6093537414965984,-11.081632653061234
0.75,10,"(28, 28)",0.001,3.162277660168379e-06,classic,4,montecarlo,local,0.8288265306122448,0.06279294113905608,0.6093537414965984,-11.081632653061234
0.75,10,"(28, 28)",0.001,3.162277660168379e-06,logarithmic,4,montecarlo,local,0.8288265306122448,0.06279294113905608,0.6093537414965984,-11.081632653061234
0.75,10,"(28, 28)",0.001,5.623413251903491e-06,exponential,4,montecarlo,local,0.8288265306122448,0.06279294113905608,0.6093537414965984,-11.081632653061234
0.75,10,"(28, 28)",0.001,5.623413251903491e-06,classic,4,montecarlo,local,0.8288265306122448,0.06279294113905608,0.6093537414965984,-11.081632653061234
0.75,10,"(28, 28)",0.001,5.623413251903491e-06,logarithmic,4,montecarlo,local,0.8288265306122448,0.06279294113905608,0.6093537414965984,-11.081632653061234
0.75,10,"(28, 28)",0.001,1e-05,exponential,4,montecarlo,local,0.826530612244898,0.060454339769790304,0.6093537414965984,-12.076530612244909
0.75,10,"(28, 28)",0.001,1e-05,classic,4,montecarlo,local,0.826530612244898,0.060454339769790304,0.6093537414965984,-12.076530612244909
0.75,10,"(28, 28)",0.001,1e-05,logarithmic,4,montecarlo,local,0.826530612244898,0.060454339769790304,0.6093537414965984,-12.076530612244909
0.75,10,"(28, 28)",0.001,1.778279410038923e-05,exponential,4,montecarlo,local,0.826530612244898,0.060454339769790304,0.6093537414965984,-12.076530612244909
0.75,10,"(28, 28)",0.001,1.778279410038923e-05,classic,4,montecarlo,local,0.826530612244898,0.060454339769790304,0.6093537414965984,-12.076530612244909
0.75,10,"(28, 28)",0.001,1.778279410038923e-05,logarithmic,4,montecarlo,local,0.826530612244898,0.060454339769790304,0.6093537414965984,-12.076530612244909
0.75,10,"(28, 28)",0.001,3.1622776601683795e-05,exponential,4,montecarlo,local,0.8423469387755104,0.05479411314626064,0.6093537414965984,-11.959183673469369
0.75,10,"(28, 28)",0.001,3.1622776601683795e-05,classic,4,montecarlo,local,0.826530612244898,0.060454339769790304,0.6093537414965984,-12.076530612244909
0.75,10,"(28, 28)",0.001,3.1622776601683795e-05,logarithmic,4,montecarlo,local,0.826530612244898,0.060454339769790304,0.6093537414965984,-12.076530612244909
0.75,10,"(28, 28)",0.001,5.623413251903491e-05,exponential,4,montecarlo,local,0.8423469387755104,0.05479411314626064,0.6093537414965984,-11.959183673469369
0.75,10,"(28, 28)",0.001,5.623413251903491e-05,classic,4,montecarlo,local,0.8423469387755104,0.05479411314626064,0.6093537414965984,-11.959183673469369
0.75,10,"(28, 28)",0.001,5.623413251903491e-05,logarithmic,4,montecarlo,local,0.8423469387755104,0.05479411314626064,0.6093537414965984,-11.959183673469369
0.75,10,"(28, 28)",0.001,0.0001,exponential,4,montecarlo,local,0.8423469387755104,0.05479411314626064,0.6093537414965984,-11.959183673469369
0.75,10,"(28, 28)",0.001,0.0001,classic,4,montecarlo,local,0.8188775510204082,0.06976003075457177,0.6093537414965984,-11.816326530612258
0.75,10,"(28, 28)",0.001,0.0001,logarithmic,4,montecarlo,local,0.8423469387755104,0.05479411314626064,0.6093537414965984,-11.959183673469369
0.75,10,"(28, 28)",0.001,0.00017782794100389227,exponential,4,montecarlo,local,0.8423469387755104,0.05479411314626064,0.6093537414965984,-11.959183673469369
0.75,10,"(28, 28)",0.001,0.00017782794100389227,classic,4,montecarlo,local,0.8423469387755104,0.05479411314626064,0.6093537414965984,-11.959183673469369
0.75,10,"(28, 28)",0.001,0.00017782794100389227,logarithmic,4,montecarlo,local,0.8188775510204082,0.06976003075457177,0.6093537414965984,-11.816326530612258
0.75,10,"(28, 28)",0.001,0.00031622776601683794,exponential,4,montecarlo,local,0.8188775510204082,0.06976003075457177,0.6093537414965984,-11.816326530612258
0.75,10,"(28, 28)",0.001,0.00031622776601683794,classic,4,montecarlo,local,0.8188775510204082,0.06976003075457177,0.6093537414965984,-11.816326530612258
0.75,10,"(28, 28)",0.001,0.00031622776601683794,logarithmic,4,montecarlo,local,0.8188775510204082,0.06976003075457177,0.6093537414965984,-11.816326530612258
0.75,10,"(28, 28)",0.001,0.0005623413251903491,exponential,4,montecarlo,local,0.8188775510204082,0.06976003075457177,0.6093537414965984,-11.816326530612258
0.75,10,"(28, 28)",0.001,0.0005623413251903491,classic,4,montecarlo,local,0.8188775510204082,0.06976003075457177,0.6093537414965984,-11.816326530612258
0.75,10,"(28, 28)",0.001,0.0005623413251903491,logarithmic,4,montecarlo,local,0.8336734693877551,0.06757845179509572,0.6093537414965984,-11.933673469387742
0.75,10,"(28, 28)",0.001,0.001,exponential,4,montecarlo,local,0.8336734693877551,0.06757845179509572,0.6093537414965984,-11.933673469387742
0.75,10,"(28, 28)",0.001,0.001,classic,4,montecarlo,local,0.8188775510204082,0.06976003075457177,0.6093537414965984,-11.816326530612258
0.75,10,"(28, 28)",0.001,0.001,logarithmic,4,montecarlo,local,0.8336734693877551,0.06757845179509572,0.6093537414965984,-11.933673469387742
0.75,10,"(28, 28)",0.001,0.0017782794100389228,exponential,4,montecarlo,local,0.8336734693877551,0.06757845179509572,0.6093537414965984,-11.933673469387742
0.75,10,"(28, 28)",0.001,0.0017782794100389228,classic,4,montecarlo,local,0.8336734693877551,0.06757845179509572,0.6093537414965984,-11.933673469387742
0.75,10,"(28, 28)",0.001,0.0017782794100389228,logarithmic,4,montecarlo,local,0.814795918367347,0.08097792285557938,0.6093537414965984,-12.076530612244909
0.75,10,"(28, 28)",0.001,0.0031622776601683794,exponential,4,montecarlo,local,0.8336734693877551,0.06757845179509572,0.6093537414965984,-11.933673469387742
