q,n_patterns,dim,temperature,alpha,schedule,R,update_method,learning_rule,avg_overlap,std_overlap,interference,energy_diff
0.75,10,"(10, 10)",0.001,0.00031622776601683794,logarithmic,,montecarlo,turkey,0.7122448979591837,0.12861191458451485,0.6093537414965984,-22.31182985913705
0.75,10,"(10, 10)",0.001,0.0005623413251903491,exponential,,montecarlo,turkey,0.7122448979591837,0.12946924942731372,0.6093537414965984,-24.49190113940469
0.75,10,"(10, 10)",0.001,0.0005623413251903491,classic,,montecarlo,turkey,0.7122448979591837,0.12861191458451485,0.6093537414965984,-22.31182985913705
0.75,10,"(10, 10)",0.001,0.0005623413251903491,logarithmic,,montecarlo,turkey,0.7122448979591837,0.12861191458451485,0.6093537414965984,-22.31182985913705
0.75,10,"(10, 10)",0.001,0.001,exponential,,montecarlo,turkey,0.7122448979591837,0.12946924942731372,0.6093537414965984,-24.49190113940469
0.75,10,"(10, 10)",0.001,0.001,classic,,montecarlo,turkey,0.7122448979591837,0.12946924942731372,0.6093537414965984,-24.49190113940469
0.75,10,"(10, 10)",0.001,0.001,logarithmic,,montecarlo,turkey,0.7127551020408164,0.12826433198207843,0.6093537414965984,-23.399885861088052
0.75,10,"(10, 10)",0.001,0.0017782794100389228,exponential,,montecarlo,turkey,0.7122448979591837,0.12861191458451485,0.6093537414965984,-22.31182985913705
0.75,10,"(10, 10)",0.001,0.0017782794100389228,classic,,montecarlo,turkey,0.7122448979591837,0.12861191458451485,0.6093537414965984,-22.31182985913705
0.75,10,"(10, 10)",0.001,0.0017782794100389228,logarithmic,,montecarlo,turkey,0.7122448979591837,0.12946924942731372,0.6093537414965984,-24.49190113940469
0.75,10,"(10, 10)",0.001,0.0031622776601683794,exponential,,montecarlo,turkey,0.7127551020408164,0.12826433198207843,0.6093537414965984,-23.399885861088052
0.75,10,"(10, 10)",0.001,0.0031622776601683794,classic,,montecarlo,turkey,0.7122448979591837,0.12861191458451485,0.6093537414965984,-22.31182985913705
0.75,10,"(10, 10)",0.001,0.0031622776601683794,logarithmic,,montecarlo,turkey,0.7127551020408164,0.12826433198207843,0.6093537414965984,-23.399885861088052
0.75,10,"(10, 10)",0.001,0.005623413251903491,exponential,,montecarlo,turkey,0.7127551020408164,0.12826433198207843,0.6093537414965984,-23.399885861088052
0.75,10,"(10, 10)",0.001,0.005623413251903491,classic,,montecarlo,turkey,0.7122448979591837,0.12861191458451485,0.6093537414965984,-22.31182985913705
0.75,10,"(10, 10)",0.001,0.005623413251903491,logarithmic,,montecarlo,turkey,0.7127551020408164,0.12826433198207843,0.6093537414965984,-23.399885861088052
0.75,10,"(10, 10)",0.001,0.01,exponential,,montecarlo,turkey,0.7135204081632653,0.12946547953606605,0.6093537414965984,-24.49190113940469
0.75,10,"(10, 10)",0.001,0.01,classic,,montecarlo,turkey,0.7127551020408164,0.12826433198207843,0.6093537414965984,-23.399885861088052
0.75,10,"(10, 10)",0.001,0.01,logarithmic,,montecarlo,turkey,0.7122448979591837,0.12861191458451485,0.6093537414965984,-22.31182985913705
0.75,10,"(10, 10)",0.001,0.01778279410038923,exponential,,montecarlo,turkey,0.7135204081632653,0.12946547953606605,0.6093537414965984,-24.49190113940469
0.75,10,"(10, 10)",0.001,0.01778279410038923,classic,,montecarlo,turkey,0.7135204081632653,0.12946547953606605,0.6093537414965984,-24.49190113940469
0.75,10,"(10, 10)",0.001,0.01778279410038923,logarithmic,,montecarlo,turkey,0.7127551020408164,0.12826433198207843,0.6093537414965984,-23.399885861088052
0.75,10,"(10, 10)",0.001,0.03162277660168379,exponential,,montecarlo,turkey,0.7117346938775511,0.12951045974620531,0.6093537414965984,-24.49190113940469
0.75,10,"(10, 10)",0.001,0.03162277660168379,classic,,montecarlo,turkey,0.7135204081632653,0.12946547953606605,0.6093537414965984,-24.49190113940469
0.75,10,"(10, 10)",0.001,0.03162277660168379,logarithmic,,montecarlo,turkey,0.7135204081632653,0.12946547953606605,0.6093537414965984,-24.49190113940469
0.75,10,"(10, 10)",0.001,0.05623413251903491,exponential,,montecarlo,turkey,0.7135204081632653,0.12946547953606605,0.6093537414965984,-24.49190113940469
0.75,10,"(10, 10)",0.001,0.05623413251903491,classic,,montecarlo,turkey,0.7127551020408164,0.12826433198207843,0.6093537414965984,-23.399885861088052
0.75,10,"(10, 10)",0.001,0.05623413251903491,logarithmic,,montecarlo,turkey,0.7135204081632653,0.12946547953606605,0.6093537414965984,-24.49190113940469
0.75,10,"(10, 10)",0.001,0.1,exponential,,montecarlo,turkey,0.7117346938775511,0.12951045974620531,0.6093537414965984,-24.49190113940469
0.75,10,"(10, 10)",0.001,0.1,classic,,montecarlo,turkey,0.7117346938775511,0.12698855576177184,0.6093537414965984,-22.084088435928408
0.75,10,"(10, 10)",0.001,0.1,logarithmic,,montecarlo,turkey,0.7117346938775511,0.12951045974620531,0.6093537414965984,-24.49190113940469
0.75,10,"(10, 10)",0.0014260138716967108,1e-07,exponential,,montecarlo,turkey,0.7117346938775511,0.12951045974620531,0.6093537414965984,-24.49190113940469
0.75,10,"(10, 10)",0.0014260138716967108,1e-07,classic,,montecarlo,turkey,0.7117346938775511,0.12951045974620531,0.6093537414965984,-24.49190113940469
0.75,10,"(10, 10)",0.0014260138716967108,1e-07,logarithmic,,montecarlo,turkey,0.713265306122449,0.1293304450428968,0.6093537414965984,-24.49190113940469
0.75,10,"(10, 10)",0.0014260138716967108,1.7782794100389227e-07,exponential,,montecarlo,turkey,0.7117346938775511,0.12951045974620531,0.6093537414965984,-24.49190113940469
0.75,10,"(10, 10)",0.0014260138716967108,1.7782794100389227e-07,classic,,montecarlo,turkey,0.7117346938775511,0.12698855576177184,0.6093537414965984,-22.084088435928408
0.75,10,"(10, 10)",0.0014260138716967108,1.7782794100389227e-07,logarithmic,,montecarlo,turkey,0.7117346938775511,0.12951045974620531,0.6093537414965984,-24.49190113940469
0.75,10,"(10, 10)",0.0014260138716967108,3.162277660168379e-07,exponential,,montecarlo,turkey,0.7124999999999999,0.1286485940285501,0.6093537414965984,-24.49190113940469
0.75,10,"(10, 10)",0.0014260138716967108,3.162277660168379e-07,classic,,montecarlo,turkey,0.7117346938775511,0.12698855576177184,0.6093537414965984,-22.084088435928408
0.75,10,"(10, 10)",0.0014260138716967108,3.162277660168379e-07,logarithmic,,montecarlo,turkey,0.7140306122448978,0.1310015423667115,0.6093537414965984,-24.49190113940469
0.75,10,"(10, 10)",0.0014260138716967108,5.62341325190349e-07,exponential,,montecarlo,turkey,0.7124999999999999,0.1286485940285501,0.6093537414965984,-24.49190113940469
0.75,10,"(10, 10)",0.0014260138716967108,5.62341325190349e-07,classic,,montecarlo,turkey,0.7117346938775511,0.1298466881838727,0.6093537414965984,-24.49190113940469
0.75,10,"(10, 10)",0.0014260138716967108,5.62341325190349e-07,logarithmic,,montecarlo,turkey,0.7117346938775511,0.1298466881838727,0.6093537414965984,-24.49190113940469
0.75,10,"(10, 10)",0.0014260138716967108,1e-06,exponential,,montecarlo,turkey,0.7117346938775511,0.1298466881838727,0.6093537414965984,-24.49190113940469
0.75,10,"(10, 10)",0.0014260138716967108,1e-06,classic,,montecarlo,turkey,0.7117346938775511,0.1298466881838727,0.6093537414965984,-24.49190113940469
0.75,10,"(10, 10)",0.0014260138716967108,1e-06,logarithmic,,montecarlo,turkey,0.7124999999999999,0.1286485940285501,0.6093537414965984,-24.49190113940469
0.75,10,"(10, 10)",0.0014260138716967108,1.778279410038923e-06,exponential,,montecarlo,turkey,0.714030612244898,0.1277826977596362,0.6093537414965984,-24.49190113940469
0.75,10,"(10, 10)",0.0014260138716967108,1.778279410038923e-06,classic,,montecarlo,turkey,0.7117346938775511,0.1291380855822753,0.6093537414965984,-23.399885861088052
0.75,10,"(10, 10)",0.0014260138716967108,1.778279410038923e-06,logarithmic,,montecarlo,turkey,0.7125,0.1292491552291422,0.6093537414965984,-24.49190113940469
0.75,10,"(10, 10)",0.0014260138716967108,3.162277660168379e-06,exponential,,montecarlo,turkey,0.7125,0.1292491552291422,0.6093537414965984,-24.49190113940469
0.75,10,"(10, 10)",0.0014260138716967108,3.162277660168379e-06,classic,,montecarlo,turkey,0.714030612244898,0.1277826977596362,0.6093537414965984,-24.49190113940469
